Status,Source,Title,URL
Working,PUCT Substantive Rules,16 TAC § 25.480 - Bill Payment and Adjustments,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-480
Working,PUCT Substantive Rules,16 TAC § 25.481 - Unauthorized Charges,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-481
Working,PUCT Substantive Rules,16 TAC § 25.482 - Prompt Payment Act,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-482
Working,PUCT Substantive Rules,16 TAC § 25.483 - Disconnection of Service,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-483
Working,PUCT Substantive Rules,16 TAC § 25.484 - Electric No-Call List,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-484
Working,PUCT Substantive Rules,16 TAC § 25.485 - Customer Access and Complaint Handling,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-485
Working,PUCT Substantive Rules,16 TAC § 25.486 - Customer Protections for Brokerage Service,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-486
Working,PUCT Substantive Rules,16 TAC § 25.487 - Obligations Related to Move-In Transaction,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-487
Working,PUCT Substantive Rules,16 TAC § 25.488 - Procedures for a Premise with No Service A,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-488
Working,PUCT Substantive Rules,16 TAC § 25.489 - Treatment of Premises with No Retail Elect,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-489
Working,PUCT Substantive Rules,16 TAC § 25.490 - Moratorium on Disconnection on Move-Out,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-490
Working,PUCT Substantive Rules,16 TAC § 25.491 - Record Retention and Reporting Requirement,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-491
Working,PUCT Substantive Rules,16 TAC § 25.492 - Non-Compliance with Rules or Orders; Enfor,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-492
Working,PUCT Substantive Rules,16 TAC § 25.493 - Acquisition and Transfer of Customers from,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-493
